dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1514764800,2018-01-01 00:00:00 +0000 UTC,4366164,,,,265.32,263.15,267.15,1029,,,48,2,240,,,,,,,,,1,800,Clear,sky is clear,01n
1514768400,2018-01-01 01:00:00 +0000 UTC,4366164,,,,264.1,261.15,266.15,1029,,,52,2,230,,,,,,,,,1,800,Clear,sky is clear,01n
1514772000,2018-01-01 02:00:00 +0000 UTC,4366164,,,,263.82,261.15,266.15,1030,,,52,3,230,,,,,,,,,1,800,Clear,sky is clear,01n
1514775600,2018-01-01 03:00:00 +0000 UTC,4366164,,,,263.38,260.15,265.15,1030,,,52,2,230,,,,,,,,,1,800,Clear,sky is clear,01n
1514779200,2018-01-01 04:00:00 +0000 UTC,4366164,,,,263.2,260.15,265.15,1030,,,52,1,230,,,,,,,,,1,800,Clear,sky is clear,01n
1514782800,2018-01-01 05:00:00 +0000 UTC,4366164,,,,263.15,260.15,265.15,1030,,,52,1,230,,,,,,,,,1,800,Clear,sky is clear,01n
1514786400,2018-01-01 06:00:00 +0000 UTC,4366164,,,,262.71,259.15,265.15,1030,,,56,2,240,,,,,,,,,1,800,Clear,sky is clear,01n
1514790000,2018-01-01 07:00:00 +0000 UTC,4366164,,,,261.93,258.15,265.15,1030,,,56,2,240,,,,,,,,,1,800,Clear,sky is clear,01n
1514793600,2018-01-01 08:00:00 +0000 UTC,4366164,,,,261.4,257.15,265.15,1031,,,84,2,327,,,,,,,,,1,800,Clear,sky is clear,01n
1514797200,2018-01-01 09:00:00 +0000 UTC,4366164,,,,260.83,257.15,264.15,1031,,,56,2,240,,,,,,,,,1,800,Clear,sky is clear,01n
1514800800,2018-01-01 10:00:00 +0000 UTC,4366164,,,,261.03,256.15,264.15,1031,,,56,2,240,,,,,,,,,1,800,Clear,sky is clear,01n
1514804400,2018-01-01 11:00:00 +0000 UTC,4366164,,,,261.57,258.15,265.15,1031,,,61,2,319,,,,,,,,,1,800,Clear,sky is clear,01n
1514808000,2018-01-01 12:00:00 +0000 UTC,4366164,,,,261.21,258.15,264.15,1032,,,66,2,319,,,,,,,,,1,800,Clear,sky is clear,01n
1514811600,2018-01-01 13:00:00 +0000 UTC,4366164,,,,261.27,258.15,264.15,1032,,,84,2,319,,,,,,,,,1,800,Clear,sky is clear,01d
1514815200,2018-01-01 14:00:00 +0000 UTC,4366164,,,,262.34,258.15,264.15,1033,,,72,2,298,,,,,,,,,1,800,Clear,sky is clear,01d
1514818800,2018-01-01 15:00:00 +0000 UTC,4366164,,,,264.91,263.15,266.15,1033,,,52,1,280,,,,,,,,,1,800,Clear,sky is clear,01d
1514822400,2018-01-01 16:00:00 +0000 UTC,4366164,,,,266.27,265.15,267.15,1034,,,48,3,290,,,,,,,,,1,800,Clear,sky is clear,01d
1514826000,2018-01-01 17:00:00 +0000 UTC,4366164,,,,266.97,266.15,268.15,1033,,,41,4,300,,,,,,,,,40,802,Clouds,scattered clouds,03d
1514829600,2018-01-01 18:00:00 +0000 UTC,4366164,,,,267.5,266.15,269.15,1032,,,41,3,320,,,,,,,,,75,803,Clouds,broken clouds,04d
1514833200,2018-01-01 19:00:00 +0000 UTC,4366164,,,,268.21,266.15,270.15,1030,,,35,6,290,,,,,,,,,75,803,Clouds,broken clouds,04d
1514836800,2018-01-01 20:00:00 +0000 UTC,4366164,,,,268.15,267.15,269.15,1031,,,37,4,260,,,,,,,,,90,804,Clouds,overcast clouds,04d
1514840400,2018-01-01 21:00:00 +0000 UTC,4366164,,,,268.04,266.15,270.15,1031,,,35,5,290,,,,,,,,,40,802,Clouds,scattered clouds,03d
1514844000,2018-01-01 22:00:00 +0000 UTC,4366164,,,,267.71,266.15,269.15,1031,,,34,3,300,,,,,,,,,1,800,Clear,sky is clear,01d
1514847600,2018-01-01 23:00:00 +0000 UTC,4366164,,,,266.68,265.15,268.15,1031,,,41,2,270,,,,,,,,,1,800,Clear,sky is clear,01n
1514851200,2018-01-02 00:00:00 +0000 UTC,4366164,,,,265.97,264.15,267.15,1031,,,41,4,292,,,,,,,,,1,800,Clear,sky is clear,01n
1514854800,2018-01-02 01:00:00 +0000 UTC,4366164,,,,265.21,263.15,267.15,1032,,,37,7,300,,,,,,,,,1,800,Clear,sky is clear,01n
1514858400,2018-01-02 02:00:00 +0000 UTC,4366164,,,,265.09,263.15,266.15,1033,,,40,6,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514862000,2018-01-02 03:00:00 +0000 UTC,4366164,,,,264.92,263.15,266.15,1034,,,40,5,230,,,,,,,,,1,800,Clear,sky is clear,01n
1514865600,2018-01-02 04:00:00 +0000 UTC,4366164,,,,263.93,262.15,265.15,1034,,,43,4,230,,,,,,,,,1,800,Clear,sky is clear,01n
1514869200,2018-01-02 05:00:00 +0000 UTC,4366164,,,,263.45,262.15,265.15,1034,,,43,4,230,,,,,,,,,1,800,Clear,sky is clear,01n
1514872800,2018-01-02 06:00:00 +0000 UTC,4366164,,,,262.91,261.15,264.15,1034,,,43,2,250,,,,,,,,,1,800,Clear,sky is clear,01n
1514876400,2018-01-02 07:00:00 +0000 UTC,4366164,,,,262.33,260.15,264.15,1034,,,47,1,250,,,,,,,,,1,800,Clear,sky is clear,01n
1514880000,2018-01-02 08:00:00 +0000 UTC,4366164,,,,261.97,259.15,264.15,1034,,,47,2,250,,,,,,,,,1,800,Clear,sky is clear,01n
1514883600,2018-01-02 09:00:00 +0000 UTC,4366164,,,,262.15,260.15,264.15,1034,,,51,3,240,,,,,,,,,1,800,Clear,sky is clear,01n
1514887200,2018-01-02 10:00:00 +0000 UTC,4366164,,,,262.09,259.15,264.15,1035,,,51,3,240,,,,,,,,,1,800,Clear,sky is clear,01n
1514890800,2018-01-02 11:00:00 +0000 UTC,4366164,,,,261.68,259.15,264.15,1035,,,51,2,250,,,,,,,,,1,800,Clear,sky is clear,01n
1514894400,2018-01-02 12:00:00 +0000 UTC,4366164,,,,261.8,259.15,264.15,1036,,,51,3,250,,,,,,,,,1,800,Clear,sky is clear,01n
1514898000,2018-01-02 13:00:00 +0000 UTC,4366164,,,,261.32,258.15,263.15,1036,,,51,4,304,,,,,,,,,1,600,Snow,light snow,13d
1514901600,2018-01-02 14:00:00 +0000 UTC,4366164,,,,261.97,259.15,264.15,1036,,,51,2,250,,,,,,,,,1,800,Clear,sky is clear,01d
1514905200,2018-01-02 15:00:00 +0000 UTC,4366164,,,,263.85,262.15,265.15,1037,,,43,3,250,,,,,,,,,1,800,Clear,sky is clear,01d
1514908800,2018-01-02 16:00:00 +0000 UTC,4366164,,,,265.03,263.15,266.15,1037,,,43,4,240,,,,,,,,,1,800,Clear,sky is clear,01d
1514912400,2018-01-02 17:00:00 +0000 UTC,4366164,,,,266.21,265.15,267.15,1036,,,40,4,240,,,,,,,,,1,800,Clear,sky is clear,01d
1514916000,2018-01-02 18:00:00 +0000 UTC,4366164,,,,267.27,266.15,268.15,1034,,,37,2,250,,,,,,,,,1,800,Clear,sky is clear,01d
1514919600,2018-01-02 19:00:00 +0000 UTC,4366164,,,,267.92,266.15,269.15,1033,,,34,3,250,,,,,,,,,1,800,Clear,sky is clear,01d
1514923200,2018-01-02 20:00:00 +0000 UTC,4366164,,,,268.92,267.15,270.15,1032,,,32,3,240,,,,,,,,,1,800,Clear,sky is clear,01d
